ticker,index,score_321,score_slope,eps_chg_60d,peg,price,ma_20,ma_60,ma_200,rsi,dollar_vol_M,sector,current,7d,30d,60d,90d,is_aligned,is_quality_growth,is_reasonable_value,is_technical_rescue,pass_reason,rev_growth,op_growth,from_52w_high,action
ATO,SP500,9.3,0.0,1.5,,166.34,167.61,170.18,163.16,48.7,249.1,Utilities,8.76028,8.72944,8.67552,8.6308,8.52255,True,True,False,False,"Quality Growth (Rev+12%, Op+19%)",12.1,18.6,-7.4,관망 (조정부족)
FTI,SP400_MidCap,9.3,0.0,1.4,,55.72,52.07,47.04,38.39,84.7,179.9,Energy,2.76631,2.74031,2.73829,2.72929,2.64101,True,True,False,False,"Quality Growth (Rev+13%, Op+40%)",12.7,40.2,-2.1,진입금지 (RSI과열)
MTSI,SP400_MidCap,9.3,0.0,1.5,,219.06,204.95,182.69,144.9,79.0,327.7,Technology,5.12885,5.10346,5.07583,5.054,4.73,True,True,False,False,"Quality Growth (Rev+30%, Op+44%)",30.1,43.8,-5.5,진입금지 (RSI과열)
O,SP500,9.3,0.0,1.6,,61.16,59.51,57.41,56.54,71.1,395.5,Real Estate,1.59973,1.59901,1.58821,1.57468,1.48218,True,True,False,False,"Quality Growth (Rev+9%, Op+23%)",9.1,23.5,-0.8,진입금지 (RSI과열)
AMGN,NASDAQ_100,9.3,0.0,1.3,,341.88,335.51,331.54,298.12,67.8,918.0,Healthcare,22.13662,22.07208,21.95202,21.85775,21.56734,True,True,False,False,"Quality Growth (Rev+12%, Op+23%)",12.4,23.4,-3.2,진입금지 (고점근처)
MCO,SP500,9.2,0.0,1.0,,515.56,526.29,502.92,490.92,36.9,368.5,Financial Services,16.47601,16.46662,16.33519,16.32084,16.17535,True,True,False,False,"Quality Growth (Rev+11%, Op+24%)",10.7,23.7,-5.7,관망 (조정부족)
WTS,SP400_MidCap,9.2,0.0,1.0,,299.31,292.1,280.77,262.69,62.4,48.8,Industrials,11.28181,11.27271,11.19626,11.17116,10.55771,True,True,False,False,"Quality Growth (Rev+13%, Op+15%)",12.5,15.5,-2.2,진입금지 (고점근처)
INCY,SP500,9.2,0.0,0.9,,100.07,104.16,102.48,83.34,34.3,202.7,Healthcare,7.87798,7.86748,7.84398,7.81093,7.62519,True,True,False,False,"Quality Growth (Rev+20%, Op+154%)",20.0,154.5,-10.9,관망
ROL,SP500,9.1,0.0,0.5,,63.34,61.8,60.49,57.67,77.7,138.2,Consumer Cyclical,1.27976,1.27861,1.27841,1.27298,1.2517,True,True,False,False,"Quality Growth (Rev+12%, Op+17%)",12.0,17.3,-0.8,진입금지 (RSI과열)
G,SP400_MidCap,9.1,0.0,0.4,,44.1,46.15,45.62,44.03,26.6,59.1,Technology,3.95155,3.95145,3.94895,3.93794,3.88204,True,True,False,False,"Quality Growth (Rev+7%, Op+10%)",6.6,9.8,-21.4,저점매수 (과매도)
CBRE,SP500,9.1,0.0,0.7,,170.33,167.71,161.17,149.74,58.7,214.8,Real Estate,7.37416,7.36779,7.36467,7.32232,7.31595,True,True,False,False,"Quality Growth (Rev+14%, Op+21%)",13.5,20.6,-1.6,진입금지 (고점근처)
WAB,SP500,9.1,0.0,0.5,,230.14,226.8,215.54,202.3,59.8,150.5,Industrials,10.21828,10.20995,10.18335,10.16419,10.10371,True,True,False,False,"Quality Growth (Rev+8%, Op+13%)",8.4,13.4,-2.5,진입금지 (고점근처)
AEE,SP500,9.1,0.0,0.4,,103.28,102.1,101.52,99.1,68.2,148.5,Utilities,5.35616,5.34995,5.33749,5.3323,5.32826,True,True,False,False,"Quality Growth (Rev+24%, Op+41%)",24.2,40.8,-2.5,진입금지 (고점근처)
SPGI,SP500,9.1,0.0,0.7,,527.79,534.98,512.52,513.0,40.7,770.2,Financial Services,19.94597,19.91117,19.82995,19.81037,19.41744,True,True,False,False,"Quality Growth (Rev+9%, Op+19%)",8.8,19.0,-8.5,관망 (조정부족)
ROK,SP500,9.1,0.0,0.4,,421.65,414.8,398.06,347.22,56.8,283.0,Industrials,13.63822,13.63038,13.59258,13.58541,13.01121,True,True,False,False,"Quality Growth (Rev+14%, Op+61%)",13.8,61.4,-1.8,진입금지 (고점근처)
CTSH,NASDAQ_100,9.1,0.0,0.3,,82.06,84.09,80.5,75.27,39.6,366.5,Technology,5.63112,5.63012,5.62023,5.61294,5.6156,True,True,False,False,"Quality Growth (Rev+7%, Op+12%)",7.4,12.3,-8.2,관망 (조정부족)
DGX,SP500,9.1,0.0,0.4,,187.03,181.53,181.42,177.37,68.8,184.2,Healthcare,10.41567,10.38385,10.37562,10.3742,10.37126,True,True,False,False,"Quality Growth (Rev+13%, Op+17%)",13.2,17.0,-4.9,진입금지 (고점근처)
CRS,SP400_MidCap,9.0,0.0,0.1,,317.83,332.0,323.77,270.1,44.8,287.4,Industrials,11.34591,11.33468,11.33187,11.32988,11.17988,True,True,False,False,"Quality Growth (Rev+8%, Op+31%)",7.5,30.5,-10.5,적극매수 (눌림목)
ORLY,NASDAQ_100,9.0,0.0,0.1,,98.41,95.64,96.08,96.64,65.1,584.0,Consumer Cyclical,3.31112,3.30939,3.30931,3.30928,3.30833,True,True,False,False,"Quality Growth (Rev+8%, Op+9%)",7.8,8.8,-9.5,관망 (과열경계)
AEP,NASDAQ_100,9.0,0.0,0.1,,119.78,117.48,118.15,110.53,63.3,379.7,Utilities,6.3208,6.31782,6.31737,6.31488,6.2974,True,True,False,False,"Quality Growth (Rev+11%, Op+13%)",10.9,12.6,-4.0,진입금지 (고점근처)
WMG,SP400_MidCap,6.5,0.0,2.5,,29.98,30.36,29.59,29.93,35.2,52.0,Communication Services,1.73993,1.72811,1.69729,1.69729,1.65155,False,True,False,False,"Quality Growth (Rev+15%, Op+20%)",14.6,19.6,-16.2,적극매수 (눌림목)
TLN,SP400_MidCap,6.3,0.1,6.6,,348.36,373.05,373.54,341.13,44.5,323.7,Utilities,22.5,21.33333,20.50705,21.1006,20.09928,False,True,False,False,"Quality Growth (Rev+39%, Op+305%)",38.7,305.4,-22.8,적극매수 (눌림목)
HALO,SP400_MidCap,6.2,0.0,1.0,,71.71,71.75,69.0,64.58,47.3,131.6,Healthcare,8.2125,8.21,8.13,8.13,7.915,False,True,False,False,"Quality Growth (Rev+22%, Op+34%)",22.1,33.5,-9.8,관망 (조정부족)
AEIS,SP400_MidCap,6.1,0.0,0.6,,255.36,245.67,222.97,167.54,66.3,215.7,Industrials,7.8278,7.78507,7.78144,7.78144,6.72256,False,True,False,False,"Quality Growth (Rev+24%, Op+185%)",23.8,185.1,-7.9,관망 (과열경계)
DY,SP400_MidCap,5.6,0.0,2.8,,364.39,360.47,340.69,274.45,65.4,114.7,Industrials,13.82048,13.59458,13.39424,13.44333,11.47494,False,True,False,False,"Quality Growth (Rev+14%, Op+48%)",14.1,48.1,-5.8,관망 (과열경계)
TEL,SP500,5.6,0.0,3.0,,222.78,231.2,232.35,201.47,41.7,454.6,Technology,12.35213,12.07835,11.98718,11.99318,10.72581,False,True,False,False,"Quality Growth (Rev+22%, Op+31%)",21.7,31.0,-11.1,적극매수 (눌림목)
CIEN,SP400_MidCap,5.6,0.0,22.8,,251.81,241.36,219.69,138.13,63.7,605.1,Technology,6.88689,6.88689,6.88689,5.60775,5.51643,False,True,False,False,"Quality Growth (Rev+20%, Op+92%)",20.3,91.7,-6.7,매수적기 (추세)
RL,SP500,5.5,0.0,2.3,,353.41,362.25,353.77,305.8,37.3,169.2,Consumer Cyclical,17.05461,16.98446,16.64807,16.67363,16.21661,False,True,False,False,"Quality Growth (Rev+16%, Op+43%)",16.5,43.4,-6.8,관망 (조정부족)
ADI,NASDAQ_100,5.4,0.0,1.7,,310.88,299.86,272.19,241.56,58.0,1107.2,Semiconductor,11.45146,11.38698,11.23879,11.25542,10.94413,False,True,False,False,"Quality Growth (Rev+26%, Op+65%)",25.9,65.2,-2.6,진입금지 (고점근처)
TRGP,SP500,5.2,0.0,1.1,,200.98,185.67,178.65,167.24,90.3,252.3,Energy,9.99054,9.83067,9.75498,9.87746,9.88076,False,True,False,False,"Quality Growth (Rev+8%, Op+15%)",7.8,14.9,-2.9,진입금지 (RSI과열)
OHI,SP400_MidCap,5.2,0.0,6.2,,43.88,44.18,44.41,40.03,46.4,83.1,Real Estate,2.02788,1.94021,1.94021,1.91021,1.91021,False,True,False,False,"Quality Growth (Rev+13%, Op+13%)",12.9,12.9,-5.3,관망 (조정부족)
BEN,SP500,5.1,0.0,0.7,,26.62,25.44,23.61,22.76,59.5,141.5,Financial Services,2.82598,2.80718,2.78342,2.8065,2.84855,False,True,False,False,"Quality Growth (Rev+6%, Op+15%)",6.0,15.4,-1.0,진입금지 (고점근처)
LECO,SP400_MidCap,5.1,0.0,0.4,,265.35,255.67,242.63,225.38,62.9,78.9,Industrials,10.812,10.77982,10.74709,10.77345,10.75982,False,True,False,False,"Quality Growth (Rev+8%, Op+10%)",7.9,10.1,-1.0,진입금지 (고점근처)
ED,SP500,5.0,0.0,0.0,,106.63,102.36,99.84,100.4,80.3,199.5,Utilities,6.03171,6.02708,6.02178,6.02917,6.01194,False,True,False,False,"Quality Growth (Rev+11%, Op+14%)",10.7,14.2,-4.8,진입금지 (RSI과열)
EIX,SP500,5.0,0.0,-0.0,,62.28,60.87,58.67,54.46,56.9,191.3,Utilities,6.1534,6.15238,6.14888,6.15548,6.15235,False,True,False,False,"Quality Growth (Rev+11%, Op+53%)",10.6,52.8,-1.4,진입금지 (고점근처)
HLT,SP500,5.0,0.0,0.2,,298.51,296.8,284.53,266.21,46.9,555.3,Consumer Cyclical,9.14698,9.13641,9.12898,9.1305,9.11779,False,True,False,False,"Quality Growth (Rev+9%, Op+24%)",8.8,24.3,-2.5,진입금지 (고점근처)
CVS,SP500,5.0,0.0,0.0,,74.52,78.99,78.18,70.87,40.4,743.5,Healthcare,7.17163,7.16814,7.16607,7.16957,7.18952,False,True,False,False,"Quality Growth (Rev+8%, Op+26%)",7.8,25.8,-11.8,적극매수 (눌림목)
FE,SP500,5.0,0.0,0.0,,47.34,46.17,45.72,43.27,77.7,208.5,Utilities,2.72179,2.71855,2.71837,2.72106,2.71918,False,True,False,False,"Quality Growth (Rev+11%, Op+14%)",11.2,14.2,-1.3,진입금지 (RSI과열)
DRI,SP500,5.0,0.0,0.1,,199.35,202.32,186.4,196.07,46.4,338.4,Consumer Cyclical,11.3976,11.38667,11.38345,11.3842,11.39208,False,True,False,False,"Quality Growth (Rev+7%, Op+9%)",7.3,9.4,-10.7,적극매수 (눌림목)
BURL,SP400_MidCap,4.9,0.0,-0.5,,295.86,301.86,282.7,265.69,42.2,244.4,Consumer Cyclical,11.14232,11.13621,11.11257,11.19982,11.24096,False,True,False,False,"Quality Growth (Rev+7%, Op+17%)",7.1,16.5,-6.1,관망 (조정부족)
MRVL,NASDAQ_100,4.2,0.0,6.1,,78.92,83.05,86.02,76.37,38.2,1122.9,Semiconductor,3.58478,3.58025,3.58503,3.37785,3.36548,False,True,False,False,"Quality Growth (Rev+37%, Op+207%)",36.8,206.6,-35.0,관망
EQIX,SP500,4.2,0.0,0.9,,820.93,795.68,775.39,797.87,59.2,437.8,Real Estate,15.33333,15.25111,15.25111,15.20333,14.80778,False,True,False,False,"Quality Growth (Rev+5%, Op+12%)",5.2,12.3,-11.9,관망
NVST,SP400_MidCap,4.1,0.0,0.4,,23.47,23.74,21.76,20.11,48.6,57.1,Healthcare,1.27331,1.27198,1.27198,1.26757,1.22954,False,True,False,False,"Quality Growth (Rev+11%, Op+175%)",11.5,175.1,-7.6,관망 (조정부족)
NYT,SP400_MidCap,4.1,0.0,0.6,,73.31,71.46,67.43,58.97,66.5,103.4,Communication Services,2.63202,2.63157,2.63157,2.61713,2.50635,False,True,False,False,"Quality Growth (Rev+9%, Op+32%)",9.5,31.8,-0.7,진입금지 (고점근처)
IDXX,NASDAQ_100,4.1,0.0,0.3,,670.46,698.55,704.58,610.43,30.5,312.8,Healthcare,14.44565,14.4169,14.4169,14.4019,14.20119,False,True,False,False,"Quality Growth (Rev+13%, Op+17%)",13.3,16.8,-12.9,관망
