ticker,company_name,index,score_321,score_slope,eps_chg_60d,peg,price,ma_20,ma_60,ma_200,rsi,dollar_vol_M,sector,current,7d,30d,60d,90d,is_aligned,is_quality_growth,is_reasonable_value,is_technical_rescue,pass_reason,rev_growth,op_growth,from_52w_high,action,fwd_per,roe,peg_calculated,hybrid_score,price_position_score,high_52w,action_multiplier,actionable_score,quality_score,quality_grade,value_score,value_label,actionable_score_v63,volume_spike,earnings_dday,fake_bottom,atr,stop_loss,ma_50,industry,is_filled
RGLD,"Royal Gold, Inc.",SP400_MidCap,11.4,0.1,12.1,,265.17,267.95,226.01,191.89,55.6,284.1,Basic Materials,12.13556,11.54192,11.38382,10.82649,10.48727,True,True,False,False,"Quality Growth (Rev+30%, Op+47%)",30.0,47.4,-13.4,관망,21.8,11.0,1.81,10.65,13.4,306.25,0.7,7.46,66.42,B+급,60,적정가,44.25,True,,False,13.09,238.99,234.4,Gold,0
F,Ford Motor Company,SP500,10.5,0.0,7.6,,13.73,13.82,13.42,11.76,45.1,901.7,Consumer Cyclical,1.54636,1.52394,1.4799,1.43757,1.40519,True,True,False,False,"Quality Growth (Rev+9%, Op+77%)",9.4,77.0,-5.3,관망 (조정부족),8.9,10.3,1.17,9.1,5.3,14.5,0.7,6.37,50.51,B급,71,저평가,42.53,False,,False,0.3,13.14,13.48,Auto Manufacturers,0
DRI,"Darden Restaurants, Inc.",SP500,9.0,0.0,0.1,,205.49,203.78,187.22,196.16,48.6,346.9,Consumer Cyclical,11.3976,11.39699,11.38395,11.38308,11.38982,True,True,False,False,"Quality Growth (Rev+7%, Op+9%)",7.3,9.4,-7.9,매수적기 (추세),18.0,54.1,138.69,8.0,7.9,223.2,0.9,7.2,54.03,B급,38,버블,41.41,False,,False,5.59,194.32,190.15,Restaurants,0
FDX,FedEx Corporation,SP500,9.5,0.0,2.4,,353.43,313.88,288.94,245.19,77.4,724.5,Industrials,21.33642,21.24714,21.17788,20.83655,20.84221,True,True,False,False,"Quality Growth (Rev+7%, Op+18%)",6.8,17.6,-0.5,🚀강력매수 (돌파),16.6,15.9,6.9,6.09,0.5,355.14,1.1,6.7,54.480000000000004,B급,20,버블,40.96,True,,False,8.44,336.54,294.26,Integrated Freight & Logistics,0
LMT,Lockheed Martin Corporation,SP500,9.4,0.0,1.8,,628.26,578.24,504.21,474.13,78.5,1438.1,Industrials,31.78019,31.27151,31.24614,31.20227,31.09172,True,True,False,False,"Quality Growth (Rev+9%, Op+235%)",9.1,234.9,-2.8,관망 (RSI🚀고점),19.8,76.9,10.69,6.55,2.8,646.59,1.1,7.2,54.37,B급,20,버블,40.9,False,,False,19.92,588.41,513.14,Aerospace & Defense,0
WWD,"Woodward, Inc.",SP400_MidCap,10.2,0.1,6.2,,371.17,329.6,302.65,256.53,70.5,237.8,Industrials,9.86362,9.38646,9.30862,9.28931,9.04966,True,True,False,False,"Quality Growth (Rev+16%, Op+58%)",16.5,58.1,-3.5,🚀강력매수 (돌파),37.6,18.6,6.09,6.7,3.5,384.66,1.1,7.37,60.24,B+급,12,버블,39.73,True,,False,12.85,345.48,310.33,Aerospace & Defense,0
CACI,"CACI International, Inc.",SP400_MidCap,9.2,0.0,1.2,,618.84,618.37,592.84,516.28,55.6,211.7,Technology,31.91012,31.84823,31.58805,31.53998,31.53998,True,True,False,False,"Quality Growth (Rev+6%, Op+14%)",5.7,13.9,-9.5,매수적기 (추세),19.4,13.2,16.57,8.48,9.5,683.5,0.9,7.63,44.230000000000004,C급,33,버블,34.75,False,,False,22.74,573.35,593.32,Information Technology Services,0
DGX,Quest Diagnostics Incorporated,SP500,9.1,0.0,0.4,,185.17,182.75,181.67,177.58,58.3,185.1,Healthcare,10.39466,10.36597,10.35722,10.35572,10.35259,True,True,False,False,"Quality Growth (Rev+13%, Op+17%)",13.2,17.0,-5.8,매수적기 (추세),17.8,14.3,46.87,7.41,5.8,196.65,0.9,6.67,44.08,C급,33,버블,34.69,False,,False,3.88,177.41,181.22,Diagnostics & Research,0
AEIS,"Advanced Energy Industries, Inc",SP400_MidCap,6.1,0.0,0.6,,263.03,249.43,224.71,169.29,64.1,231.3,Industrials,7.8278,7.78507,7.78144,7.78144,6.72256,False,True,False,False,"Quality Growth (Rev+24%, Op+185%)",23.8,185.1,-5.1,매수적기 (추세),33.6,11.8,56.0,5.18,5.1,277.15,0.9,4.66,51.120000000000005,B급,25,버블,34.25,True,,False,14.39,234.24,227.95,Electrical Equipment & Parts,0
LLY,Eli Lilly and Company,SP500,9.7,0.0,3.3,,1003.46,1056.51,1044.77,854.3,33.5,3049.9,Healthcare,33.29852,32.95731,32.63357,32.23299,31.23408,True,True,False,False,"Quality Growth (Rev+54%, Op+89%)",53.9,89.1,-11.5,관망,30.1,96.5,9.11,8.95,11.5,1133.95,0.7,6.26,54.66,B급,42,고평가,33.83,False,,False,32.65,938.16,1054.2,Drug Manufacturers - General,0
FIVE,"Five Below, Inc.",SP400_MidCap,11.0,0.0,10.0,,196.73,194.89,177.96,145.11,44.7,230.5,Consumer Cyclical,6.8341,6.81535,6.26426,6.21102,5.65706,True,True,False,False,"Quality Growth (Rev+23%, Op+7246%)",23.1,7246.0,-4.1,관망,28.8,17.3,2.87,7.44,4.1,205.22,0.7,5.21,56.01,B급,37,버블,32.55,False,,False,6.18,184.36,183.64,Specialty Retail,0
TPR,"Tapestry, Inc.",SP500,9.6,0.0,2.8,,127.03,130.43,120.29,103.46,35.6,277.2,Consumer Cyclical,6.34532,6.28196,6.20132,6.17029,6.1047,True,True,False,False,"Quality Growth (Rev+13%, Op+30%)",13.1,30.2,-6.6,관망 (조정부족),20.0,16.1,7.05,7.77,6.6,136.04,0.7,5.44,44.57,C급,43,고평가,30.65,False,,False,3.68,119.66,123.9,Luxury Goods,0
JBL,Jabil Inc.,SP500,10.0,0.0,5.1,,245.63,239.85,224.72,206.6,56.5,275.3,Technology,13.48524,13.47274,12.91668,12.82842,12.82842,True,True,False,False,"Quality Growth (Rev+19%, Op+33%)",18.7,32.9,-4.8,관망,18.2,47.8,3.56,7.55,4.8,258.05,0.7,5.28,60.019999999999996,B+급,25,버블,29.76,False,,False,9.78,226.07,228.15,Electronic Components,0
CCL,Carnival Corporation,SP500,9.5,0.0,2.3,,31.94,30.22,28.48,27.48,54.7,650.3,Consumer Cyclical,2.831,2.82804,2.82055,2.76636,2.76497,True,True,False,False,"Quality Growth (Rev+7%, Op+31%)",6.6,31.2,-3.7,관망,11.3,25.6,4.82,7.6,3.6,33.15,0.7,5.32,49.47,C급,35,버블,29.56,False,,False,1.18,29.59,28.9,Travel Services,0
CRS,Carpenter Technology Corporatio,SP400_MidCap,10.3,0.1,6.4,,338.92,330.59,324.25,271.62,57.4,324.8,Industrials,12.04924,11.33468,11.33187,11.32988,11.17988,True,True,False,False,"Quality Growth (Rev+8%, Op+31%)",7.5,30.5,-4.5,관망,28.1,23.5,4.43,7.2,4.5,355.0,0.7,5.04,65.27,B+급,17,버블,28.79,True,,False,17.22,304.47,323.94,Metal Fabrication,0
CBOE,"Cboe Global Markets, Inc.",SP500,9.8,0.0,3.9,,268.68,266.76,258.41,241.63,52.9,234.7,Financial Services,11.2044,11.1117,10.92033,10.78078,10.37797,True,True,False,False,"Quality Growth (Rev+8%, Op+22%)",8.1,22.0,-3.8,관망,24.0,21.6,6.1,6.87,3.8,279.33,0.7,4.81,49.79,C급,30,버블,27.93,False,,False,6.48,255.72,258.53,Financial Data & Stock Exchanges,0
AMGN,Amgen Inc.,NASDAQ_100,9.2,0.0,1.1,,338.59,337.25,332.73,298.72,63.9,957.0,Healthcare,22.09639,22.03534,21.95202,21.85775,21.56734,True,True,False,False,"Quality Growth (Rev+12%, Op+23%)",12.4,23.4,-4.2,관망,15.3,81.7,14.06,7.16,4.2,353.25,0.7,5.01,54.22,B급,25,버블,27.73,False,,False,8.37,321.86,333.04,Drug Manufacturers - General,0
HII,"Huntington Ingalls Industries, ",SP500,9.4,0.0,1.8,,429.64,410.03,351.9,284.59,62.0,268.9,Industrials,17.65123,17.61057,17.48571,17.34736,17.02696,True,True,False,False,"Quality Growth (Rev+16%, Op+113%)",16.1,112.9,-1.5,관망,24.3,12.4,13.91,5.94,1.5,436.14,0.7,4.16,44.35,C급,25,버블,24.27,False,,False,13.79,402.06,359.94,Aerospace & Defense,0
WAB,Westinghouse Air Brake Technolo,SP500,9.1,0.0,0.5,,236.27,228.63,216.54,202.94,63.7,157.3,Industrials,10.21828,10.20995,10.18335,10.16419,10.10371,True,True,False,False,"Quality Growth (Rev+8%, Op+13%)",8.4,13.4,-1.2,관망,23.1,11.2,43.62,5.77,1.2,239.07,0.7,4.04,44.11,C급,25,버블,24.19,False,,False,4.55,227.17,219.05,Railroads,0
AEE,Ameren Corporation,SP500,9.1,0.0,0.4,,104.01,102.39,101.6,99.17,62.6,154.8,Utilities,5.35616,5.34995,5.33749,5.3323,5.32826,True,True,False,False,"Quality Growth (Rev+24%, Op+41%)",24.2,40.8,-1.8,관망,19.4,11.4,43.16,6.13,1.8,105.97,0.7,4.29,44.09,C급,25,버블,24.18,False,,False,1.63,100.75,101.17,Utilities - Regulated Electric,0
PH,Parker-Hannifin Corporation,SP500,9.6,0.0,2.8,,964.33,933.74,887.29,760.36,58.5,670.0,Industrials,33.9926,33.29944,33.06643,33.05869,31.81635,True,True,False,False,"Quality Growth (Rev+9%, Op+17%)",9.1,16.5,-0.9,관망,28.4,25.8,10.02,5.75,0.9,972.8,0.7,4.02,49.57,C급,17,버블,23.3,False,,False,19.97,924.39,897.51,Specialty Industrial Machinery,0
ROK,"Rockwell Automation, Inc.",SP500,9.0,0.0,0.2,,430.31,417.61,400.39,349.24,58.0,299.5,Industrials,13.61853,13.60962,13.59258,13.58541,13.01121,True,True,False,False,"Quality Growth (Rev+14%, Op+61%)",13.8,61.4,-0.8,관망,31.6,20.3,131.67,5.41,0.8,433.97,0.7,3.79,49.05,C급,17,버블,23.12,False,,False,9.54,411.23,404.88,Specialty Industrial Machinery,0
ROL,"Rollins, Inc.",SP500,9.1,0.0,0.5,,62.98,62.23,60.61,57.76,64.8,136.2,Consumer Cyclical,1.27976,1.27861,1.27841,1.27298,1.2517,True,True,False,False,"Quality Growth (Rev+12%, Op+17%)",12.0,17.3,-1.3,관망,49.2,36.2,92.85,5.37,1.4,63.84,0.7,3.76,54.11,B급,10,버블,22.44,False,,False,0.93,61.12,61.05,Personal Services,0
ORLY,"O'Reilly Automotive, Inc.",NASDAQ_100,6.0,0.0,0.2,,97.1,96.35,96.18,96.7,59.0,593.6,Consumer Cyclical,3.31566,3.30985,3.30931,3.30931,3.30833,False,True,False,False,"Quality Growth (Rev+8%, Op+9%)",7.8,8.8,-10.7,관망,29.3,,154.16,6.91,10.7,108.72,0.7,4.84,31.04,C급,32,버블,22.06,False,,False,2.09,92.92,95.79,Auto Parts,0
WTS,"Watts Water Technologies, Inc.",SP400_MidCap,9.2,0.0,1.0,,304.16,294.58,281.66,263.77,63.4,49.8,Industrials,11.28181,11.27271,11.19626,11.17116,10.55771,True,True,False,False,"Quality Growth (Rev+13%, Op+15%)",12.5,15.5,-1.4,관망,27.0,17.8,27.23,5.75,1.4,308.34,0.7,4.02,44.2,C급,17,버블,21.42,False,,False,7.74,288.68,283.99,Specialty Industrial Machinery,0
CASY,"Caseys General Stores, Inc.",SP400_MidCap,9.9,0.0,4.3,,641.37,612.49,572.91,525.69,66.5,216.2,Consumer Cyclical,19.18743,19.17861,18.89452,18.39927,18.27082,True,True,False,False,"Quality Growth (Rev+14%, Op+18%)",14.2,18.4,-0.9,관망 (고점경계),33.4,17.0,7.81,5.81,0.9,647.39,0.7,4.07,44.86,C급,12,버블,19.9,False,,False,15.26,610.86,580.0,Specialty Retail,0
CAH,"Cardinal Health, Inc.",SP500,9.4,0.0,2.0,,218.0,210.1,205.99,170.02,65.1,379.8,Healthcare,11.29142,11.20077,11.08476,11.07028,10.8697,True,True,False,False,"Quality Growth (Rev+22%, Op+37%)",22.4,36.8,-1.0,관망 (고점경계),19.3,,9.65,6.04,1.0,220.27,0.7,4.23,34.4,C급,20,버블,19.04,False,,False,4.29,209.42,206.32,Medical Distribution,0
LITE,Lumentum Holdings Inc.,SP400_MidCap,12.1,0.1,15.3,,435.1,366.16,332.45,181.12,65.5,2096.8,Technology,9.2108,9.12379,8.18319,7.9888,6.6814,True,True,False,False,"Quality Growth (Rev+58%, Op+121%)",58.4,120.6,-6.2,진입금지 (단기급등),47.2,13.4,3.09,8.32,6.2,464.0,0.3,2.5,67.06,B+급,13,버블,12.01,True,,False,36.12,362.85,349.67,Communication Equipment,0
FTI,TechnipFMC plc,SP400_MidCap,9.3,0.0,1.7,,57.34,52.98,47.53,38.71,89.0,187.1,Energy,2.78397,2.76631,2.75579,2.73829,2.72979,True,True,False,False,"Quality Growth (Rev+13%, Op+40%)",12.7,40.2,,진입금지 (극과열),20.6,29.3,12.34,5.64,,57.34,0.3,1.69,49.33,C급,20,버블,10.4,False,,False,1.51,54.31,48.4,Oil & Gas Equipment & Services,0
