ticker,company_name,index,score_321,score_slope,eps_chg_60d,eps_chg_7d,eps_chg_30d,eps_chg_90d,price_change_pct,peg,price,ma_20,ma_60,ma_200,rsi,dollar_vol_M,sector,current,7d,30d,60d,90d,is_aligned,is_quality_growth,is_reasonable_value,is_technical_rescue,pass_reason,rev_growth,op_growth,from_52w_high,action,fwd_per,roe,peg_calculated,hybrid_score,price_position_score,high_52w,action_multiplier,actionable_score,quality_score,value_score,total_score,quality_grade,value_label,actionable_score_v63,volume_spike,earnings_dday,fake_bottom,atr,stop_loss,ma_50,industry,is_filled
RL,Ralph Lauren Corporation,SP500,9.9,0.0,4.6,2.4,4.5,4.7,-4.52,,338.66,360.19,356.12,308.78,27.6,204.3,Consumer Cyclical,17.43616,17.02819,16.68679,16.67363,16.65252,True,True,False,False,"Quality Growth (Rev+16%, Op+43%)",16.5,43.4,-10.7,저점매수 (과매도),19.4,34.0,4.25,9.18,10.6,379.04,1.0,9.18,31.2,95,31.2,C급,급락매수,31.15,True,,False,11.44,315.78,361.06,Apparel Manufacturing,0
AVGO,Broadcom Inc.,NASDAQ_100,11.6,0.0,13.0,1.0,2.3,18.0,0.8,,310.51,332.44,351.08,307.42,30.3,8445.9,Semiconductor,14.36275,14.22036,14.03726,12.70597,12.16856,True,True,False,False,"Quality Growth (Rev+28%, Op+55%)",28.2,54.8,-25.0,저점매수 (과매도),21.6,31.1,1.66,14.22,25.0,413.82,1.0,14.22,30.9,95,30.9,C급,급락매수,30.89,True,,False,15.12,280.26,351.98,Semiconductors,0
GMED,"Globus Medical, Inc.",SP400_MidCap,9.7,0.0,3.3,1.2,3.1,16.5,0.51,,87.5,91.72,88.97,68.7,24.4,130.1,Healthcare,4.24454,4.19575,4.11708,4.10933,3.64417,True,True,False,False,"Quality Growth (Rev+23%, Op+172%)",22.9,171.8,-13.7,저점매수 (과매도),20.6,10.0,6.26,9.91,13.7,101.4,1.0,9.91,28.7,85,28.7,C급,급락매수,28.67,False,,False,2.46,82.59,89.89,Medical Devices,0
AMGN,Amgen Inc.,NASDAQ_100,9.5,0.0,2.5,1.6,2.3,3.3,0.44,,367.8,340.36,334.44,299.7,75.2,1120.2,Healthcare,23.15208,22.77738,22.63989,22.59458,22.40911,True,True,False,False,"Quality Growth (Rev+12%, Op+23%)",12.4,23.4,-1.9,🚀강력매수 (돌파),15.9,106.1,6.43,6.57,1.9,374.9,1.1,7.23,26.9,50,26.9,C급,과열,29.56,True,,False,10.3,347.19,334.3,Drug Manufacturers - General,0
LLY,Eli Lilly and Company,SP500,10.0,0.0,5.1,0.5,3.5,8.8,-7.79,,1020.84,1054.3,1049.25,856.69,48.4,3507.9,Healthcare,41.51913,41.30598,40.12491,39.5085,38.15383,True,True,False,False,"Quality Growth (Rev+54%, Op+89%)",53.9,89.1,-10.0,관망 (조정부족),24.6,108.3,4.83,8.81,10.0,1133.95,0.7,6.17,26.7,75,26.7,C급,매수적기,18.7,True,,False,41.83,937.19,1054.7,Drug Manufacturers - General,0
JBL,Jabil Inc.,SP500,10.0,0.0,5.1,0.1,4.4,5.1,2.44,,241.83,241.3,225.54,207.67,40.0,265.2,Technology,13.48524,13.47274,12.91668,12.82842,12.82842,True,True,False,False,"Quality Growth (Rev+19%, Op+33%)",18.7,32.9,-6.3,매수적기 (추세),17.9,47.8,3.5,8.01,6.3,258.05,0.9,7.21,25.8,75,25.8,C급,매수적기,23.21,True,,False,10.18,221.48,229.93,Electronic Components,0
RMD,ResMed Inc.,SP500,9.3,0.0,1.4,1.1,1.3,1.4,1.53,,267.05,256.74,251.21,258.19,56.5,301.3,Healthcare,12.17977,12.04645,12.02836,12.01567,12.01567,True,True,False,False,"Quality Growth (Rev+11%, Op+19%)",11.0,19.3,-8.9,관망 (조정부족),21.9,25.7,16.01,8.21,8.9,293.11,0.7,5.75,24.2,55,24.2,C급,중립,16.94,False,,False,6.99,253.07,251.84,Medical Instruments & Supplies,0
HII,"Huntington Ingalls Industries, ",SP500,9.7,0.0,3.3,0.7,0.9,3.3,-10.59,,369.38,412.95,354.74,286.34,30.7,254.4,Industrials,20.53803,20.39946,20.34773,19.87642,19.87642,True,True,False,False,"Quality Growth (Rev+16%, Op+113%)",16.1,112.9,-15.3,저점매수 (과매도),18.0,12.4,5.4,10.54,15.3,436.14,1.0,10.54,23.8,90,23.8,C급,급락매수,23.84,True,,False,17.08,335.21,363.5,Aerospace & Defense,0
ROK,"Rockwell Automation, Inc.",SP500,9.2,0.0,1.2,0.9,1.0,2.8,-5.38,,406.7,418.3,401.94,351.15,43.0,330.1,Industrials,13.73751,13.61853,13.60369,13.57076,13.36255,True,True,False,False,"Quality Growth (Rev+14%, Op+61%)",13.8,61.4,-7.3,적극매수 (MA50지지),29.6,20.3,24.07,7.49,7.3,438.72,1.0,7.49,23.6,75,23.6,C급,매수적기,23.63,True,,False,12.8,381.1,406.66,Specialty Industrial Machinery,0
FTI,TechnipFMC plc,SP400_MidCap,9.3,0.0,1.7,0.6,1.7,2.0,-0.51,,56.25,53.74,48.0,39.02,74.4,191.3,Energy,2.78397,2.76631,2.73873,2.73829,2.72979,True,True,False,False,"Quality Growth (Rev+13%, Op+40%)",12.7,40.2,-2.4,🚀강력매수 (돌파),20.2,29.3,12.1,6.38,2.4,57.64,1.1,7.02,23.6,50,23.6,C급,과열,25.91,True,,False,1.62,53.0,48.9,Oil & Gas Equipment & Services,0
CASY,"Caseys General Stores, Inc.",SP400_MidCap,9.9,0.0,4.3,0.0,1.6,5.0,0.81,,653.02,620.71,577.0,527.66,58.8,227.0,Consumer Cyclical,19.18743,19.17861,18.89452,18.39927,18.27082,True,True,False,False,"Quality Growth (Rev+14%, Op+18%)",14.2,18.4,-0.8,관망 (저항근접),34.0,17.0,7.95,5.76,0.8,658.29,0.7,4.03,23.3,50,23.3,C급,과열,16.33,False,,False,14.97,623.07,583.81,Specialty Retail,0
WTS,"Watts Water Technologies, Inc.",SP400_MidCap,9.2,0.0,1.0,0.1,0.8,6.9,0.62,,308.8,297.07,283.0,264.91,61.9,54.0,Industrials,11.28181,11.27271,11.19626,11.17116,10.55771,True,True,False,False,"Quality Growth (Rev+13%, Op+15%)",12.5,15.5,-1.0,🚀강력매수 (돌파),27.4,17.8,27.65,5.64,1.0,312.0,1.1,6.2,22.1,55,22.1,C급,중립,24.36,True,,False,7.82,293.16,285.55,Specialty Industrial Machinery,0
INCY,Incyte Corporation,SP500,9.4,0.0,2.0,0.0,0.5,3.3,0.16,,102.76,103.58,102.3,84.23,44.1,201.1,Healthcare,7.96314,7.95998,7.92419,7.81093,7.70757,True,True,False,False,"Quality Growth (Rev+20%, Op+154%)",20.0,154.5,-8.5,관망 (조정부족),12.9,30.4,6.62,8.79,8.5,112.29,0.7,6.15,21.6,65,21.6,C급,중립,15.1,False,,False,3.48,95.81,101.86,Biotechnology,0
CVNA,Carvana Co.,SP500,9.2,0.0,0.9,0.1,0.5,4.1,-2.38,,383.69,441.77,412.19,357.2,31.8,1492.0,Consumer Cyclical,7.06553,7.06164,7.03249,7.00027,6.78429,True,True,False,False,"Quality Growth (Rev+55%, Op+64%)",54.5,63.8,-21.2,저점매수 (과매도),54.3,68.2,58.39,11.32,21.2,486.89,1.0,11.32,21.4,85,21.4,C급,급락매수,21.42,False,,False,31.34,321.02,430.47,Auto & Truck Dealerships,0
DGX,Quest Diagnostics Incorporated,SP500,9.1,0.0,0.4,0.3,0.4,0.4,1.62,,192.3,183.98,182.13,177.89,53.6,204.4,Healthcare,10.39466,10.36597,10.35722,10.35572,10.35259,True,True,False,False,"Quality Growth (Rev+13%, Op+17%)",13.2,17.0,-2.2,관망,18.5,14.3,48.68,6.28,2.2,196.65,0.7,4.4,21.1,60,21.1,C급,중립,14.77,True,,False,3.71,184.88,181.3,Diagnostics & Research,0
ROL,"Rollins, Inc.",SP500,9.1,0.0,0.5,0.1,0.1,2.2,1.51,,64.47,62.68,60.8,57.85,70.9,144.3,Consumer Cyclical,1.27976,1.27861,1.27841,1.27298,1.2517,True,True,False,False,"Quality Growth (Rev+12%, Op+17%)",12.0,17.3,-0.5,관망 (RSI🚀고점),50.4,36.2,95.06,5.1,0.5,64.78,1.1,5.61,20.8,40,20.8,C급,과열,22.89,False,,False,0.99,62.48,61.21,Personal Services,0
